operator,count,mean,median,p90
SPL,2,4.396275,4.396275,5.952071
LRU,2,4.428895,4.428895,6.096035
LBER,3,5.004263333333333,4.46537,5.804194
TLML,15,11.894700199999999,4.49698,14.0603
LFCh,2,4.531314999999999,4.531314999999999,5.372655
BSAG,10,5.401112400000001,4.57715,9.261283999999998
DKB-lkp,4,9.9440975,4.57764,20.031395000000003
BEAG,2,4.58472,4.58472,6.0179279999999995
TCP,26,6.272076653846154,4.62222,9.31293
VSK-bkk,86,10.304704255813954,4.625485,19.310200000000002
VB,363,8.565691253443527,4.65146,13.738220000000002
BNP,47,5.08793425531915,4.66323,8.22199
TV,44,67.92119138636363,4.67171,37.97084000000004
SAH,2,4.685035,4.685035,7.428263
SRI,2,4.68929,4.68929,6.345122
ZBAG,37,8.741190324324323,4.68985,18.89915999999999
PAGT,2,4.7112300000000005,4.7112300000000005,6.054838
FART Auto,354,12.937957587570622,4.716559999999999,29.686959999999985
LDW,2,4.720665,4.720665,6.211444999999999
AAGR,178,7.376204764044943,4.73393,11.229800000000008
LRF,2,4.748945,4.748945,6.431621
FML,2,4.77431,4.77431,5.86707
ASM Auto,329,8.671654993920972,4.80516,12.423559999999997
ZVB,755,8.279910501986755,4.84119,13.717820000000003
BKAG,6,5.851442666666667,4.841785,10.261675
LMW,2,4.86399,4.86399,5.7101820000000005
EBZ,15,13.203558933333333,4.89748,34.08144
BLS-brs,8,11.873635,4.8975349999999995,25.95380999999999
BSU,310,8.463347777419354,4.902965,15.873080000000003
DIH,2,4.943175,4.943175,6.0346589999999996
RMA,7,54.38266428571429,4.99013,155.0347800000001
AWA,43,5.866861860465116,5.01267,9.963406000000004
HSS,2,5.012695,5.012695,7.2203870000000006
VBSG,375,7.361323949333333,5.01997,13.188640000000001
TVGD-tcbc,2,5.060335,5.060335,8.200643000000001
ABF,32,5.299594375,5.10268,7.574607
Cent-klic,5,11.251538,5.13533,22.93248
TVGD,12,4.765171666666666,5.14853,7.342912
BLAG,581,15.654849473321857,5.14904,35.9287
GSUR,3,6.94776,5.15634,12.362708000000001
BHY-sost,4,5.269605,5.2099150000000005,6.9296560000000005
AB-ab,99,8.549123333333332,5.22817,18.38664
ZB-EV,1,5.24225,5.24225,5.24225
,33,10.040886696969697,5.24683,34.469080000000005
TRN/Autrvt,53,10.07484058490566,5.25876,21.382140000000017
LAA,2,5.28074,5.28074,7.182516
SKRa,2,5.287855,5.287855,5.985395
SSZ,8,6.34983,5.29149,12.66422
BOS,760,8.015576984210526,5.29838,13.703960000000002
BDGAG,39,10.422324051282052,5.29897,27.266060000000007
LABAG,4,6.2437000000000005,5.31958,9.321553000000002
RBS Auto,360,12.798525033333332,5.35929,25.654030000000002
LFB,2,5.39191,5.39191,8.038614
BLT,611,10.914597381342062,5.39251,19.0292
WG-wg,2,5.4080265,5.4080265,9.210645300000001
KWO-sb,2,5.414675,5.414675,7.025031
SZU-laf,4,5.1444875,5.41841,6.54795
BHY-ssks,2,5.50081,5.50081,6.303794000000001
ABAG,39,21.259585153846153,5.52491,18.342940000000002
LHB,25,7.42528628,5.53475,17.545740000000006
AAGS,520,7.286359653846154,5.56515,12.314090000000002
TSD-tcld,2,5.58542,5.58542,6.3562520000000005
SDS,3,54.3963,5.62672,123.010144
LMR,3,9.445193333333334,5.62934,18.200748
FBS,2,5.65576,5.65576,7.691368
RBL,174,13.939580718390804,5.659145,17.328710000000058
SVB Auto,684,13.458992008918129,5.70922,32.87901000000001
BLWE,26,6.031136923076923,5.724375,8.20418
MVR-cev,32,17.58305153125,5.73188,35.642540000000004
LTUO,3,7.8333699999999995,5.73199,10.949038
LSS,2,5.746405,5.746405,8.654633
REGO,133,11.37449352631579,5.79862,15.62934
Bamert,42,11.039087142857143,5.799935,26.877829999999985
AAGL,275,8.89600996,5.80474,14.826259999999998
TTY-tce,6,6.6698276666666665,5.806905,12.676554999999999
ASS,26,7.960377038461538,5.813445,15.688649999999999
LGIA,2,5.833245,5.833245,6.812889
RVBW,306,8.089367313725491,5.93234,13.232050000000001
LLAT,7,28.340848571428573,5.93339,73.49170000000004
VMCV,409,10.722298762836186,5.95857,14.698479999999998
MBC Auto,389,10.355083023136247,5.97011,18.686679999999996
BBA,260,9.38098823076923,5.98081,16.911569999999998
LPF,6,12.090665,6.05997,28.285650000000004
SZU Auto,448,13.614566665178572,6.071445,27.09047
GBD,2,6.08502,6.08502,9.470444
TMN,6,9.471218333333333,6.089505,20.7179
CJ Auto,75,25.018251773333333,6.09063,83.22748000000021
BMH,21,10.987342857142856,6.09502,12.117
LNE,2,6.0985949999999995,6.0985949999999995,7.359847
VZO,976,12.796168295081968,6.10198,28.768900000000002
MVR-vcp,6,5.268991499999999,6.133,7.465945
VBG,821,15.645021515225334,6.14727,32.7693
VB-be,4,5.240185,6.1486350000000005,6.754601
GLIS,2,6.179515,6.179515,7.768111
FSCR,3,12.86703,6.20189,22.984618
SHAG,2,6.209836500000001,6.209836500000001,10.463087300000002
TVGD-tlncp,2,6.2631,6.2631,7.384924
BOGG,344,8.534779389534883,6.27135,18.078669999999995
ASM-rvo,32,22.1245678125,6.30369,30.683200000000028
BCD,6,6.602795,6.323779999999999,12.23865
AVA/Autwm,27,9.253406296296296,6.32538,18.12374
STI,799,16.878731470588235,6.34755,34.49646
TPL,329,11.0821846443769,6.35137,23.410159999999994
HB,2,6.36454,6.36454,9.369468
HKDS,2,6.39602,6.39602,6.961708
VBSH-rv,285,9.359964210526316,6.42815,12.98738
LKüS,2,6.461975,6.461975,10.722395
BGR,2,6.47825,6.47825,9.58573
AVJ,44,9.885970863636363,6.47872,18.833030000000026
AVA/rbz,281,11.431653572953737,6.48388,27.1292
DIALA-lcl,2,6.486105,6.486105,7.208781
VBH,81,10.582811358024692,6.49231,20.1476
SBW,396,12.371410878787879,6.5464850000000006,21.92375
AMG,2,6.583305,6.583305,7.772509
STBAG,24,9.72260024,6.612830000000001,24.811890000000002
WAB-sgho,6,10.320447166666666,6.61524,22.610599999999998
AAGU,176,12.544234704545454,6.644914999999999,20.6807
MVR-mtgn,38,13.63894394736842,6.650085,49.53558000000006
SK,2,6.6582550000000005,6.6582550000000005,9.346851000000001
OBSM,11,13.010039999999998,6.67206,23.6692
GKO,2,6.720364999999999,6.720364999999999,8.978505
ESMM-smbb,25,17.88874316,6.72885,47.757340000000056
TUG,8,20.466068375,6.825905,44.76779699999998
LSMS-sbm,18,38.15742561111111,6.86437,29.42912
SBF,124,12.234198637096775,6.891575,23.94161
LSC,19,20.884737,6.93618,57.21683999999998
AS,100,10.6989622,6.9414750000000005,18.919300000000003
BWA,8,8.473787499999998,6.951454999999999,16.967869999999998
SMF-ldb,9,31.351688888888887,6.97819,73.20620000000002
PAG,18189,15.357146732981473,6.98275,30.396520000000013
GGM-shet,4,6.3276385,6.98372,10.352478000000001
LKS,2,7.0065100000000005,7.0065100000000005,7.295870000000001
VBZ,1860,19.593729232258063,7.036905,45.04655
LEF,2,7.045745,7.045745,10.189229
FMB,13,8.61957,7.07693,12.879774000000005
SMC,131,14.436380633587786,7.13399,31.5674
AeS,7,9.336778571428571,7.16249,14.922006000000007
LHB-ssps,4,29.80417,7.16761,74.34777000000001
KMB-bkm,6,25.942245,7.18784,66.90621999999999
SGES,2,7.198295,7.198295,7.906515
SBAD,4,24.7498225,7.2087699999999995,61.24766000000001
LGP,2,7.219435,7.219435,7.823567
BuS/cb,212,11.241280712264151,7.253615,22.575670000000006
